,plaats,timestamp,time,temp,gtemp,samenv,lv,windr,windrgr,windms,windbft,windknp,windkmh,luchtd,ldmmhg,dauwp,zicht,gr,verw,sup,sunder,image,alarm,lkop,ltekst,wrschklr,wrsch_g,wrsch_gts,wrsch_gc
0,Assen,1741186684,05-03-2025 15:58:04,6.5,3.1,Licht bewolkt,72,ZW,215.2,4.74,3,9.2,17.1,1022.5,767,3.3,6760,347,Zonnig voorjaarsweer met oplopende temperaturen,07:09,18:21,lichtbewolkt,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-
1,Lelystad,1741186684,05-03-2025 15:58:04,7.3,5.0,Licht bewolkt,71,ZZW,204.6,3.34,2,6.5,12.0,1023.71,768,2.4,8550,338,Zonnig voorjaarsweer met oplopende temperaturen,07:12,18:26,lichtbewolkt,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-
2,Leeuwarden,1741165084,05-03-2025 09:58:04,7.1,3.6,Licht bewolkt,77,ZW,213.5,5.94,4,11.5,21.4,1022.32,767,3.4,5510,302,Zonnig voorjaarsweer met oplopende temperaturen,07:12,18:24,lichtbewolkt,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-
3,Arnhem,1741165084,05-03-2025 09:58:04,7.8,5.8,Licht bewolkt,58,ZZO,189.6,3.03,2,5.9,10.9,1024.59,769,0.2,13700,314,Zonnig voorjaarsweer met oplopende temperaturen,07:10,18:24,lichtbewolkt,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-
4,Groningen,1741186684,05-03-2025 15:58:04,6.5,3.1,Licht bewolkt,72,ZW,215.2,4.74,3,9.2,17.1,1022.5,767,3.3,6760,347,Zonnig voorjaarsweer met oplopende temperaturen,07:09,18:21,lichtbewolkt,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-
5,Maastricht,1741165084,05-03-2025 09:58:04,7.3,5.0,Licht bewolkt,61,ZZO,182.3,3.44,3,6.7,12.4,1025.52,769,0.3,37700,351,Zonnig voorjaarsweer met oplopende temperaturen,07:10,18:26,lichtbewolkt,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-
6,Eindhoven,1741165084,05-03-2025 09:58:04,8.2,7.4,Licht bewolkt,67,ZW,215.6,1.67,2,3.2,6.0,1024.9,769,2.5,12100,327,Zonnig voorjaarsweer met oplopende temperaturen,07:12,18:27,lichtbewolkt,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-
7,Den Helder,1741165084,05-03-2025 09:58:04,8.4,5.2,Licht bewolkt,76,ZW,224.7,6.02,4,11.7,21.7,1022.64,767,4.5,6100,339,Zonnig voorjaarsweer met oplopende temperaturen,07:16,18:28,lichtbewolkt,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-
8,Enschede,1741186684,05-03-2025 15:58:04,7.9,5.8,Licht bewolkt,59,ZZW,204.7,3.21,2,6.2,11.6,1024.45,768,0.6,17900,332,Zonnig voorjaarsweer met oplopende temperaturen,07:07,18:20,lichtbewolkt,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-
9,Amersfoort,1741186684,05-03-2025 15:58:04,7.7,6.2,Licht bewolkt,64,ZZW,191.8,2.31,2,4.5,8.3,1024.24,768,1.3,11900,335,Zonnig voorjaarsweer met oplopende temperaturen,07:13,18:27,lichtbewolkt,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-
10,Middelburg,1741165084,05-03-2025 09:58:04,6.5,4.9,Licht bewolkt,79,ZZW,194.7,2.18,2,4.2,7.8,1024.41,768,3.2,7500,322,Zonnig voorjaarsweer met oplopende temperaturen,07:19,18:34,lichtbewolkt,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-
11,Rotterdam,1741186684,05-03-2025 15:58:04,8.5,6.2,Licht bewolkt,64,ZZW,195.3,3.85,3,7.5,13.9,1024.03,768,2.1,11000,327,Zonnig voorjaarsweer met oplopende temperaturen,07:16,18:30,lichtbewolkt,0,Er zijn geen waarschuwingen, Er zijn momenteel geen waarschuwingen van kracht.,groen,-,0,-
