,uur,timestamp,image,temp,windbft,windkmh,windknp,windms,windrgr,windr,neersl,gr,plaats
0,05-03-2025 16:00,1741186800,wolkennacht,10,2,10,6,3,243,ZW,0,208,Assen
1,05-03-2025 17:00,1741190400,helderenacht,9,2,7,4,2,238,ZW,0,78,Assen
2,05-03-2025 18:00,1741194000,helderenacht,7,2,7,4,2,205,Z,0,3,Assen
3,05-03-2025 19:00,1741197600,helderenacht,5,2,7,4,2,191,Z,0,0,Assen
4,05-03-2025 20:00,1741201200,helderenacht,4,2,10,6,3,191,Z,0,0,Assen
5,05-03-2025 21:00,1741204800,helderenacht,3,2,10,6,3,194,Z,0,0,Assen
6,05-03-2025 22:00,1741208400,helderenacht,2,2,10,6,3,182,Z,0,0,Assen
7,05-03-2025 23:00,1741212000,helderenacht,2,2,10,6,3,189,Z,0,0,Assen
8,06-03-2025 00:00,1741215600,helderenacht,2,2,10,6,3,182,Z,0,0,Assen
9,06-03-2025 01:00,1741219200,helderenacht,2,2,10,6,3,187,Z,0,0,Assen
10,06-03-2025 02:00,1741222800,helderenacht,2,2,10,6,3,191,Z,0,0,Assen
11,06-03-2025 03:00,1741226400,helderenacht,2,2,10,6,3,203,Z,0,0,Assen
12,06-03-2025 04:00,1741230000,helderenacht,2,2,10,6,3,203,Z,0,0,Assen
13,06-03-2025 05:00,1741233600,helderenacht,2,2,7,4,2,188,Z,0,0,Assen
14,06-03-2025 06:00,1741237200,helderenacht,1,2,10,6,3,187,Z,0,0,Assen
15,06-03-2025 07:00,1741240800,helderenacht,1,2,10,6,3,181,Z,0,28,Assen
16,06-03-2025 08:00,1741244400,zonnig,2,2,10,6,3,187,Z,0,144,Assen
17,06-03-2025 09:00,1741248000,halfbewolkt,4,2,10,6,3,191,Z,0,266,Assen
18,06-03-2025 10:00,1741251600,lichtbewolkt,6,2,10,6,3,197,Z,0,379,Assen
19,06-03-2025 11:00,1741255200,halfbewolkt,9,2,10,6,3,202,Z,0,468,Assen
20,06-03-2025 12:00,1741258800,halfbewolkt,11,3,14,8,4,210,Z,0,490,Assen
21,06-03-2025 13:00,1741262400,zonnig,12,3,14,8,4,209,Z,0,490,Assen
22,06-03-2025 14:00,1741266000,zonnig,13,2,10,6,3,206,Z,0,432,Assen
23,06-03-2025 15:00,1741269600,lichtbewolkt,14,3,14,8,4,203,Z,0,335,Assen
24,05-03-2025 16:00,1741186800,helderenacht,10,2,10,6,3,220,ZW,0,227,Lelystad
25,05-03-2025 17:00,1741190400,helderenacht,10,2,7,4,2,288,W,0,89,Lelystad
26,05-03-2025 18:00,1741194000,helderenacht,9,2,7,4,2,301,W,0,6,Lelystad
27,05-03-2025 19:00,1741197600,helderenacht,7,1,3,2,1,300,W,0,0,Lelystad
28,05-03-2025 20:00,1741201200,helderenacht,5,1,3,2,1,147,ZO,0,0,Lelystad
29,05-03-2025 21:00,1741204800,helderenacht,4,1,3,2,1,155,ZO,0,0,Lelystad
30,05-03-2025 22:00,1741208400,helderenacht,3,2,7,4,2,154,ZO,0,0,Lelystad
